"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"平地原住民",0,1,"鄭天財^Sra．Kacaw",45/12/16,"男","花蓮縣","中國國民黨","花蓮縣瑞美國小
瑞穗國中
花蓮高中
國立臺灣大學法律系畢業","省府法規會編審、省原民局副局長、省原住民事務委員會副主委、行政院原住民族委員會教文處處長、社福處處長、企劃處處長、副主任委員、省政府副秘書長、考試院頒發九十一年公務人員傑出貢獻獎、第八、九屆立法委員、21世紀基金會國會評鑑第九屆優質立委。"
"平地原住民",0,10,"廖國棟^Sufin．Siluko",44/1/8,"男","臺東縣","中國國民黨","高雄醫學大學醫學系","1.臺東縣延平、海端、蘭嶼、長濱、成功等鄉鎮衛生所主任兼醫師。
2.臺東衛生局醫政課長。
3.臺東基督教醫院主治醫師。
4.第三屆國大代表。
5.第五至第九屆立法委員。
6.立法院國民黨黨團書紀長、總召。"
"平地原住民",0,2,"巫化．巴阿立佑司",54/3/7,女,"臺東縣","喜樂島聯盟","美國普林斯頓神學院神學碩士
臺東大學南島文化研究所文學碩士","臺灣基督長老教會牧師
臺東反對養雞場新園里自救會發言人
臺東市新園卡拉魯然部落主席
行政院政務顧問
模擬參審法庭國民法官
原住民族語認證東排灣語命題委員與口試委員
臺灣基督長老教會東部排灣中會總幹事
臺東市民代表"
"平地原住民",0,3,"黃仁",51/4/13,"男","臺東縣","中國國民黨","竹湖國小，新生國小，長濱中學，國防部空軍航空技術學院，環球科技大學企管系學士，環球科技大學企管所碩士。","國立台北大學結業，台中市環球科技大學校友會理事長台中市部落大學校長(97年101年)第16屆台中市議會議員，第一屆直轄市議會議員，現任第三屆直轄市議會議員，國民黨台中黨部原民工作會長"
"平地原住民",0,4,"高潞．以用．巴魕剌^Kawlo．Iyun．Pacidal",66/4/9,女,"臺北市","台灣維新","臺北商專國貿科
世新大學新聞系","第九屆立法委員、臺美及臺日國會聯誼副會長、阿美族守護聯盟發起人、小米穗原住民文化基金會董事暨執行長、原民臺記者兼主播、北教大及世新法研所碩士班"
"平地原住民",0,5,"曾美華",64/4/15,女,"屏東縣","安定力量","屏東光華國小、私立美和中學、屏東女中、國立台灣大學歷史系畢業","曾任安親班老師，線上教學助理，電信業特助，婚後專職教會工作，擔任過青少年輔導，社青團契區長現任教會音樂事奉副部長，也是失智社區服務據點志工及講師。"
"平地原住民",0,6,"楊進福",46/1/1,"男","花蓮縣","無","銘傳大學公共事務學系碩
士
黎明工專機械工程科畢業
省立內埔農工農機科畢業
花蓮縣立美崙國民中學","桃園市第一、二屆市議員
桃園縣第十七屆縣議員
桃園縣龜山鄉第16、18 屆鄉民代
表
醒吾科技大學法律講師
銘傳大學公共事務講師
桃園縣政府勞資爭議獨任調解人
龜山鄉公所調解委員會調解委員
邱正明律師事務所法務助理
文化大學法律研究所進修"
"平地原住民",0,7,"達佶祐．卡造^Takiyo．Kacaw",58/2/7,"男","花蓮縣","合一行動聯盟","中央警察大學　法學士
淡江大學國際事務學院（法學碩士）","中國文化大學博士候選人、警政署
第一警官隊、國家安全局特勤中
心、總統府侍衛室玉山警衛室、法
務部矯正署講師、淡江大學兼任講
師、台北海洋科技大學原資中心"
"平地原住民",0,8,"張寶美^Ungo．Panay",55/4/5,女,"花蓮縣","合一行動聯盟","台北市私立南華高級中學職業進修學校","山水天地康樂委員直潭國小志工媽
媽﹑安康國中得勝者志工老師達觀
國中得勝者志工老師奇蹟關懷協會
志工103年新店區塗潭里第二屆里
長選舉達觀國小故事媽媽"
"平地原住民",0,9,"陳瑩",61/11/15,女,"臺東縣","民主進步黨","美國伊利諾大學香檳校園音樂系碩士班畢業","第六屆平地原住民立法委員
第七屆不分區立法委員
社會福利及衛生環境委員會召委
外交國防委員會召委
第九屆平地原住民立法委員
社會福利及衛生環境委員會召委
立法委員民進黨團書記長
民進黨中常委
民進黨原住民族事務部主任"
