"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"雲林縣",1,1,"張嘉郡",70/1/10,女,"雲林縣","中國國民黨","英國南漢普頓大學國際關係碩士
英國倫敦大學企業管理系學士
英國凱特倫中學畢業
雲林縣虎尾國小畢業","第七屆、第八屆立法委員
立法院臺英國會議員聯誼會會長
中華民國婦女聯合會雲林縣分會主委
雲林縣青埔教育基金會董事長
虎尾中央扶輪社社長
雲林農田水利會機要秘書
中華民國雲林同鄉總會榮譽副總會長
台北市雲林同鄉會顧問"
"雲林縣",1,2,"蘇治芬",42/7/10,女,"雲林縣","民主進步黨","北港南陽國小，北港初級中學，臺北市立士林商業職業學校，雲林科技大學企業管理系碩士。","第三屆國民大會代表，行政院顧問，第五屆立法委員，立法院第五屆第四會期預算及決算委員會召集委員，雲林縣第十五屆、十六屆縣長，第九屆立法委員。"
"雲林縣",1,3,"林富源",60/8/10,"男","雲林縣","無","臺西鄉尚德國小、臺西國中、稚暉工家","鴻廷空間設計負責人、耘林藝術人文生態關懷協會理事長、耘耕自然有機無毒直賣所創辦人、參與六輕環評暨環差會議、國土計畫法、空汙修法、水資源保育等重大攸關民生議題法案之修定，無役不與；並致力於有機、無毒農漁牧產品行銷推廣和協助產銷端建立品牌通路。"
"雲林縣",1,4,"李昭儀",74/8/29,女,"臺北市","台灣革命黨","麥寮橋頭國小畢業、麥寮國中畢業、虎尾農工商業經營科畢業、國立虎尾科技大學企業管理系四技畢業","政黨法人台灣革命黨執行長，天山王母神廟執行長，999大道電視廣播網召集人，雲林縣麥寮鄉綜合發展協會理事長"
"雲林縣",2,1,"彭新銘",80/6/4,"男","雲林縣","無","國立虎尾科技大學電機工程系
國立西螺農工
斗南國中
斗南國小","現任：斗南鎮民代表
斗南鎮公所職員104-107年
西螺農工棒球隊教練
「桌遊樁」桌上益智遊戲店負責人
104年全國運動會雲林縣棒球代表隊
斗南鎮小東、新光、石龜社區發展協會志工
斗南明昌城鄉發展協會幹事
紫藤文創關懷協會監事"
"雲林縣",2,2,"劉建國",58/3/9,"男","雲林縣","民主進步黨","南華大學管理學碩士","1. 立法院第七、八、九屆立法委員
2.立法院社會福利及衛生環境委員會召委
3.立法院厚生會會長
4.民進黨議會黨團召集人暨第十五、十六屆議員、縣議會教育及預算小組召集人
5.第六屆斗六市民代表
6.雲林縣體育會副理事長
7.雲林縣棒球委員會主委
8.雲林縣社會關懷協會創會理事長"
"雲林縣",2,3,張永津,60/1/31,"男","臺中市","喜樂島聯盟","國立勤益科技大學（二專）
私立建國科技大學（二技）","國立雲林科技大學（碩士二年級）
台灣自辦公投組織（幹部）
美國台灣自治基金會（幹部）
台中市脊隨損傷者協會（理事）
明立綠能有限公司（負責人）
喜陽陽光能源有限公司（負責人）"
"雲林縣",2,4,"謝淑亞",49/6/28,女,"嘉義縣","中國國民黨","美國威斯康辛大學教育碩士
東吳大學英文系
私立興國中學","雲林縣政府副縣長
斗六市市長（第9、10屆）
雲林縣農會總幹事
雲林縣議會議員（第16屆）
雲林縣古坑鄉鄉長（13、14屆）
虎尾科技大學兼任英文講師"
