"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"花蓮縣",0,1,"蕭嘉豪",77/7/8,"男","新北市","民生公益","花蓮高工汽修科","花蓮空軍四○一聯隊志願役
台北一○一大樓安全主任
民生公益黨員"
"花蓮縣",0,2,"蕭美琴",60/8/7,女,"日本","民主進步黨","美國哥倫比亞大學政治學碩士","第5、6、8、9屆立法委員		
亞洲民主自由聯盟(CALD)主席	
國際自由政黨聯盟(LI)副主席	
總統府顧問
行政院大陸委員會諮詢委員
海基會董事
民進黨國際事務部主任
民進黨立院黨團書記長	
臺灣民主基金會董事
新境界文教基會副執行長
花蓮縣美琴之友會榮譽理事長"
"花蓮縣",0,3,"黃啓嘉",55/11/4,"男","臺北市","中國國民黨","國立台灣大學醫學系學士
國立東華大學企管碩士","花蓮生命線協會理事長
花蓮縣醫師公會理事長
花蓮扶輪社社長
衛福部健保委員
醫師公會全國聯合會常務理事
嘉光耳鼻喉科診所院長"
"花蓮縣",0,4,"許願神",43/6/12,"男","花蓮縣","臺灣前進黨","花蓮中正國小
花蓮農校五年制專班
憲兵專科學校
八代花蓮人","多語言、國會助理、教官師、里長、代表、電工執照、街頭藝人証、中華好人好事表揚、省府芳草人物、花鐵退休協會、生命線協會會員、慈濟功德會、巡守隊、花蓮環保志工、憲警退休協會、客屬花市副會長、蓮安關懷協會長、青商會員，獸醫員，好事多不及備載...為花蓮人曾經跳海跳樓跳火沒死沒選上可能跳舞掃地而亡"
"花蓮縣",0,5,"曹純明",63/3/1,"男","花蓮縣","中華統一促進黨","花蓮縣立宜昌國民中學畢業。","1、經商
2、中華統一促進黨花蓮縣定國當黨部主任委員"
"花蓮縣",0,6,"傅崐萁",51/5/8,"男","臺中市","無","淡江大學中國大陸研究所","2010-2018九連冠五星縣長
第16、17屆花蓮縣長
第5、6、7屆立法委員
立法院全院聯席會主席
立法院國防委員會召集人
立法院預算委員會召集人
立法院親民黨團總召集人
立法院世界臺商之友會副會長
花蓮縣第一獅子會會長
花蓮縣客屬會理事長"
