"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"臺中市",1,1,"蔡其昌",58/4/16,"男","臺中市","民主進步黨","中興大學財金所EMBA碩士
東海大學歷史研究所碩士
東海大學歷史學系畢業
清水高中
沙鹿國中
清水國小","立法院副院長
第6屆、第8屆、第9屆立法委員
中興大學財金所博士班
中興大學校友總會理事長
民主進步黨中常委、發言人
臺中縣政府民政局長
臺中縣工業策進會總幹事
靜宜大學、聯合大學兼任講師
臺中市壘球委員會主任委員"
"臺中市",1,2,"林佳新",72/3/20,"男","雲林縣","中國國民黨","雲林縣莿桐國中畢","務農"
"臺中市",1,3,"黃朝淵",62/12/19,"男","臺中市","親民黨","國立臺北大學企業管理學系
畢業","東海大學法律學研究所
可翔科技總經理、東森集團副總
經理、亞洲醫美集團法務長、鑫
富海國際集團法務長、台灣互聯
警政時報副社長、台中市台灣心
會理事、台中市大樓社區協進會
理事、台灣快樂列車協會顧問、
彩虹國際同濟會候任會長、台中
市長候選人盧秀燕競選總部後援
會會長"
"臺中市",2,1,"顏寬恒",66/9/14,"男","臺中市","中國國民黨","1. 建國工專機械工程科
2. 美國舊金山多明尼肯大學企管碩士
3. 中華大學行政管理研究所碩士","1. 立法院第8、9屆立法委員
2. 臺中市救國團團委會指導委員
3. 大甲鎮瀾宮兒童家園志工
4. 臺中市後備指揮部發展委員
5. 臺中市新移民女性家庭關懷協會顧問
6. 臺中市沙鹿中正獅子會2016-2017會長
7. 中華民國法警協會榮譽理事長
8. 社團法人臺中市學前教育協會
顧問"
"臺中市",2,2,"陳柏惟",74/7/10,"男","高雄市","台灣基進","國立高雄大學資訊管理學系","澎湖縣西嶼鄉二崁村人
電影《Kano》《幸福路上》
《寒戰二》等21部製作經驗
兔將創意影業股份有限公司營運副總
台灣基進黨發言人"
"臺中市",3,1,"朱立凡",69/4/14,"男","苗栗縣","宗教聯盟","中興大學畜產系","曾任
立法委員國會辦公室特別助理
臺中市政府民政局機要秘書
臺中市政府市長室機要秘書
現任
宗教聯盟中區黨部執行長
全國宗教聯合發展基金會秘書"
"臺中市",3,2,"宋柏澄",84/4/19,"男","臺中市","台澎黨","光華高工畢","製造業機台操作員"
"臺中市",3,3,"洪慈庸",71/12/20,女,"臺中市","無","國立高雄第一科技大學行
銷與流通管理學系","第九屆立法委員
臺灣青年基金會副執行長
遠綠科技股份有限公司專案經理
捷孚凱行銷研究顧問公司專員"
"臺中市",3,4,"張睿倉",73/9/29,"男","臺中市","台灣民眾黨","大華國中
國立臺中二中
世新大學","大雅區上雅里里長(連任)
民代助理(6年)基層服務近十年
大雅區籃球委員會常務理事
大雅獅子會獅兄
逢甲大學公共政策暨社會創新
研究所在職專班"
"臺中市",3,5,"張烱春",54/3/30,"男","臺中市","喜樂島聯盟","1.大雅(三和國小)
2.豐原(豐南國中)
3.台中(台中師專)
(台中教育大學)","台中教育大學、靜宜大學碩士
學分班、台中科技大學研究所、
78年參選立委、89年參選國大、
103年參選議員、99年當選北屯
仁和里長、108年呂秀蓮參選連
署站長、臺中市街頭藝人協會
理事長"
"臺中市",3,6,"楊瓊瓔",53/10/19,女,"臺中市","中國國民黨","東海大學公共事務碩士、
東海大學社會學系畢業。","臺中市副市長；亞洲大學健康
產業管理學系博士候選人；立
法院第四、五、六、七、八屆
立法委員；立法院國民黨團書
記長；立法院財政、教育及文
化、經濟委員會召集人；立法
院中美洲議會觀察員；臺灣省
議會第九、十屆省議員；中英
獅子會會長；臺中港女國際同
濟會會長；臺中市體育會槌球
委員會主委。"
"臺中市",4,1,"李家葳",67/10/19,女,"臺中市","中華統一促進黨","嶺東高商","中華統一促進黨嬴政黨部主委"
"臺中市",4,2,"陳志彬",67/7/23,"男","臺中市","無","國立台中商專 國際貿易科
亞洲大學經營管理學系碩士","①中華民國陸軍裝甲兵
②百夫長旅行箱CENTURION創辦人
③中華民國第71屆金商獎優良商人
④中國社會科學院大學 政府政策與公共管理系 博士研究生"
"臺中市",4,3,"黃馨慧",45/11/27,女,"臺中市","中國國民黨","逢甲大學經營管理碩士
靜宜大學商學士","臺中直轄市第1、2、3屆市議員
臺中市第14、15、16屆市議員
中華民國婦女會常務理事
臺中市婦女會理事長
臺中市體育總會圍棋委員會主任委員
臺中市國際禮儀推展協會理事長
臺中女國際同濟會創會長"
"臺中市",4,4,"楊書銘",73/6/1,"男","臺中市","國會政黨聯盟","一、台中市西屯國民小學
二、台中市大業國民中學
三、台中市光華高級工業學校
四、台中市嶺東科技大學企業管理科副學士","一、台灣社區志工聯盟 台中主任
二、國家改革促進會 理事
三、國際同濟會五倫會 會長
四、司法革新生命尊嚴維護協會理事"
"臺中市",4,5,"張渝江",61/9/6,"男","臺南市","台灣民眾黨","台中市立中正國小
台中市立向上國中
台中一中
台大土木法律雙學位
台大理學碩士","高鐵設計施工ISO 9001 QA品質系
統稽核員
工程技術顧問公司負責人
營造業負責人
資訊安全/無人機/區塊鏈科技公司
創辦人
台中市土木技師公會，常務理事
，副理事長
台灣省土木技師公會，副主委(法
益 紀律)
台北市土木技師公會，主委(法益)
921，汶川地震，花蓮勘災
芝加哥伊大MBA"
"臺中市",4,6,"張廖萬堅",54/2/9,"男","臺中市","民主進步黨","台中一中
輔仁大學大眾傳播系
東海大學管理學院碩士","立法委員
立法院教育文化委員會召委
臺中市議員
東吳大學政研所碩士班
臺中市棒球委員會主委
西苑高中棒球隊創隊後援會長
臺中一中校友會理事
臺中市教師會、醫師、牙醫師公會、全人家長會長協會顧問
臺中市圍棋協會理事長
民進黨中執委、中市黨部主委
歷任報社、有線電視台新聞部經理"
"臺中市",4,7,"紀經儀",53/6/6,女,"苗栗縣","合一行動聯盟","育達商業中學國際貿易科","致理大學肄業
神召神學院聖經碩士"
"臺中市",4,8,"林金連",45/9/10,"男","臺中市","無","靜修書房、南屯國小、黎明國中、光華高工、省立嘉義師專幼稚教育師資科、國立嘉義師範學院幼兒教育學系、
國立嘉義大學幼兒教育研究所，幼教碩士。","黎明幼稚園42年、87年文建會地方記錄片首獎、考古研究、埔里石墩坑、南屯麻糍埔遺址發現。
中華道教學院合格大法師認證。台灣省道教會理事。台灣土地正義行動聯盟常務理事。
嘉義大學幼兒教育研究所甄試榜首"
"臺中市",5,1,"段體佩",53/2/21,"男","臺中市","無","明道中學初中部68年畢
樹德工專機械工程科73年畢","1. 聯合報台中廣告社負責人
2. 愛迪爾廣告事業有限公司負責人
3. 惠双房屋旅順店店東
4. 台中市瑞寶獅子會秘書
5. 台中市救難協會顧問
6. 台中市青創協會首席顧問
7. 林洋港、宋楚瑜選舉義工大隊長
8. 謝啟大、馮定國選舉義工大隊長"
"臺中市",5,2,"莊競程",69/12/22,"男","臺中市","民主進步黨","國立臺灣大學醫學工程學研究所博士，
中原大學生物醫學工程學研究所碩士，
中原大學生物醫學工程學系學士","國立交通大學生醫工程研究所助理教授，
國立交通大學電機工程學系合聘助理教授"
