"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"苗栗縣",1,1,"鍾林芷綸",55/4/17,女,"新北市","台澎黨","國立三重高工","苗栗道卡斯族文化協會理事"
"苗栗縣",1,2,"羅貴星",50/12/15,"男","苗栗縣","民主進步黨","中原大學工學博士
國立勤益科技大學工學碩士","現任第十九屆苗栗縣議員
第十九屆鄉民代表
第九屆苗栗縣體育總會跆拳道委員會主任委員
苗栗縣小英之友會秘書長
第三屆三義觀光發展協會理事長
第一屆三義鄉水美商圈產業發展協會理事長
第五屆苗栗縣職業總工會常務理事
第十七、十八屆三義鄉農會理事
三義鄉義警消、民防、警友會顧問"
"苗栗縣",1,3,"朱哲成",78/2/5,"男","臺北市","台灣民眾黨","台北市立成功高級中學
天主教輔仁大學廣告傳播學系畢","行政院中辦副執行長室秘書
立法委員吳宜臻國會辦公室助理
台南市長候選人黃偉哲競總文宣組
苗栗縣愛鄉協進會副總幹事
台灣聯合國協進會- 聯合國先生"
"苗栗縣",1,4,"陳超明",40/12/17,"男","苗栗縣","中國國民黨","國立政治大學公共行政系畢業","苗栗縣第12、13 屆縣議員
第10 屆省議員
第4、8、9 屆立法委員
總統府顧問
行政院顧問
前苗栗縣守望相助隊大隊長
苗栗竹南后厝龍鳳宮主任委員
立法院第9 屆第2 會期紀律委員會召集委員
立法院第9 屆第2 會期內政委員會召集委員
立法院第9 屆第6、8 會期經濟委員會召集委員"
"苗栗縣",1,5,"朱英濠",49/3/8,"男","桃園市","無","銘傳大學公事所碩士","西南獅子會
苗栗南區扶輪社
育達科大及親民技術學院講師
空大及中國科大講師
青商會會長
選監委員
法院榮譽觀護人
生態旅遊作者
民宿渡假村之作者兼講師"
"苗栗縣",1,6,"曾國良",51/10/25,"男","苗栗縣","無","後龍維真國中
新竹高中
東吳大學國貿系
東吳經研所","中央信託局
高考及格
財政部證管會期貨小組"
"苗栗縣",2,1,"温俊勇",65/9/21,"男","新北市","無","1. 頭份國民小學
2. 興華國民中學
3. 大成高級中學
4. 親民技術學院附設專科進修學校企業管理科
5. 中華大學工業管理學碩士","1. 現任頭份市民代表會主席
2. 現任頭份社區發展協會理事長
3. 臺灣鄉鎮市民代表會聯合總會副總會長
4. 第19 屆頭份鎮民代表
5. 第20 屆頭份鎮民代表會主席
6. 苗栗縣18 鄉鎮市民代表聯誼會會長
7. 臉書社群( 我是頭份人) 臉書創辦人"
"苗栗縣",2,2,"徐定禎",50/1/3,"男","苗栗縣","民主進步黨","東吳大學企業管理學系學士
省立新竹高級中學","第1 屆頭份市市長
第16、17 屆頭份鎮鎮長
苗栗縣地政士公會理事長
育達商業科技大學財法系副教授
中華資產鑑定( 股) 公司估價師
徐定禎地政士事務所負責人
苗栗縣竹南地政事務所課員"
"苗栗縣",2,3,"曾宛菁",74/4/8,女,"苗栗縣","中華統一促進黨","斗煥國校
興華國中
大成高中","中華統一促進黨臥龍黨部秘書"
"苗栗縣",2,4,"林名哲",73/7/1,"男","臺南市","勞動黨","國立清華大學社會學研究所碩士
國立清華大學電機工程學系學士","台灣電子電機資訊產業工會秘書長
勞動部勞資爭議調解人認證通過
新竹縣政府勞資爭議獨任調解人
桃園市政府勞資爭議獨任調解人
新竹科學園區勞資爭議調解委員"
"苗栗縣",2,5,"林昱同",72/8/14,"男","臺北市","台灣基進","畢業於苗栗縣建功國小及明仁國中，後就讀建台高中資訊科，畢業後考取吳鳳技術學院應用外語系英文組，並於九十五年取得學士學位。","大學時就在佳音英語擔任助教，畢業後一直在教育界服務，也曾於多間國小、國中擔任代理教師。現任職於吉的堡國中英文班。"
"苗栗縣",2,6,"徐志榮",44/7/31,"男","苗栗縣","中國國民黨","省立苗栗高中畢業
日本國立石川高等職業學校畢業","第八、九屆立法委員
苗栗縣公館鄉第十三、十四屆鄉長
行政院政務顧問
苗栗縣徐氏宗親會副理事長
苗栗縣義消總隊總隊長"
