"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"新竹市",0,1,"鄭正鈐",58/5/31,"男","新竹縣","中國國民黨","中華大學科技管理研究所博士
政治大學東亞研究所碩士
政治大學外交系/新聞系
新竹中學
培英國中
曙光國小
東園國小","新竹市第6、7 、8、9、10屆市議員。
國民黨18、19、20屆中央委員。
國民黨新竹市青工總會長。
玄奘大學、中華大學助理教授。
新竹市消防局鳳凰志工隊大隊長。"
"新竹市",0,2,"鄭宏輝",58/8/16,"男","新竹市","民主進步黨","台大政研所碩士
台大政治系
新竹中學","行政院政務顧問
行政院客委會諮詢委員會
新竹市義消總隊長
新竹市議會五屆議員
東區守望相助巡守隊總隊長
中華大學行政管理學系講師"
"新竹市",0,3,"廖蓓瑩",63/1/16,女,"臺北市","國會政黨聯盟","國立臺灣大學外國語文學系學士
北一女中","國會政黨聯盟副發言人、青年部副主任
中華民國解癮戒毒協會顧問
新竹縣政府新聞科機要任用
學學文創志業公司學務總監
VOGUE、ELLE、美麗佳人雜誌國際中文版主編
壹週刊副主任
國立中山大學高階公共政策碩士班"
"新竹市",0,4,"王榮德",42/8/15,"男","新竹市","無","北門國小
新竹縣立第二初中
國立新竹高商
國立台中商專","紅十字會理事、發明人協會理事、新竹市第五信用合作社前監事主席、新竹市商業會理事、竹市工業會理事、新竹市北區調解會第一、二、三屆主席、竹苗區車鑑會委員、新竹地院①榮譽調解人、新竹地院候選②國民法官、新竹市選舉委員會委員、新竹地檢榮譽觀護人、97年法務部長獎項得獎人"
"新竹市",0,5,"高鈺婷",74/3/28,女,"新北市","時代力量","臺北市立大安高級工業職業學校
國立虎尾科技大學飛機工程系
國立臺灣科技大學電資學院電子工程系工學碩士","工業技術研究院工程師
島國前進幹部
2016邱顯智新竹市立委選戰工程師後援會成員"
"新竹市",0,6,"曾楷耀",63/8/21,"男","桃園市","台灣維新","長庚大學化工與材料工程學系碩士畢業
萬能工商專科學校化學工程科畢業","臺灣科技大學應用科學研究所博士候選人、
萬能科技大學化學工程系肄業、
國中理化老師、
世界高中教師兼教務組長、
明新科技大學勞工安全兼任講師、
臺灣師範大學僑教學院兼任講師、
新竹市心理衛生協會顧問、
新竹市微笑長照關懷協會常務監事"
