"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"桃園市",1,1,"陳根德",45/1/18,"男","桃園市","中國國民黨","1. 元智大學社會暨政策科
學學系碩士班社會學碩士
學位","第四至八屆立法委員。救國團桃園
縣團委會及復興活動中心主委。桃
園農工崇學基金會董事長。臺灣省
義勇人員安全濟助基金會董事。桃
園縣議會議長。中華民國及桃園縣
後備憲兵荷松協會理事長。桃園縣
體育會理事長。桃園縣民眾服務社
理事長。桃園縣義警大隊大隊長。"
"桃園市",1,2,"鄭運鵬",62/6/2,"男","臺北市","民主進步黨","國立臺灣大學土木工程學
系畢業、私立延平中學高
中部、私立延平中學國中
部、台北市立福星國民小
學","第六、九屆立法委員、民主進步黨
立院黨團書記長、民主進步黨發言
人、民主進步黨文化宣傳部主任、
民主進步黨組織擴廣部主任、高雄
市工務局機要秘書"
"桃園市",1,3,"楊淂鉉",81/4/11,"男","新北市","無","淡江大學歷史學系學士
國立瑞芳高工綜合高中科
溪崑國中
頂埔國小","核四三千億債務人
前瞻八千八百億債務人
風力發電兩兆債務人
俄羅斯輪盤電力版本被迫參與者
無核家園用肺空氣清淨被迫參與者"
"桃園市",1,4,"陳泓維",76/5/8,"男","桃園市","台灣民眾黨","成功工商","龍華科技大學文創系、優佳達多媒
體工作室負責人、聯合速攝商業攝
影工作室負責人、碩盟通信有限公
司負責人、碩盟餐飲有限公司負責
人"
"桃園市",1,5,"沈育和",52/11/12,"男","臺南市","一邊一國行動黨","台南市立鹽水國中畢","桃園市道教會監事
桃園南天武聖殿 殿主－悟道法師
宏竹社區發展協會顧問
大華國小顧問"
"桃園市",2,1,"黃世杰",68/1/5,"男","臺北市","民主進步黨","美國哥倫比亞大學 法學碩士
台灣大學 法學碩士
台灣大學 法律、社會雙學士
建國中學
復旦中學國中部","2001 年 律師高考第一名
2001 年 司法官特考及格
桃園市政府 參議、顧問
桃園市客家文化基金會 監察人
財團法人農業工程研究中心 董事"
"桃園市",2,2,"吳文凱",69/10/25,"男","桃園市","台灣維新","潮音國小
大園國中
清雲技術學院 機械科
中國文化大學 政治學系","德商光電設備主任
人力仲介事務人員"
"桃園市",2,3,"陳志豪",67/5/16,"男","屏東縣","中華統一促進黨","桃園市治平中學畢業","1. 經營不動產仲介買賣18 年
2. 亞力山大健身中心店經理
3. 中華統一促進黨楊業黨部主委"
"桃園市",2,4,"張馨云",58/7/23,女,"桃園市","台澎黨","淡江大學畢","力堂實業有限公司前負責人
台名保險經紀人( 股) 公司業務經理
保險經紀人國家考試榜首
富馨保險經紀人事務所負責人
中華民國保險經紀人公會監事"
"桃園市",2,5,"吳志揚",58/2/8,"男","桃園市","中國國民黨","1. 哈佛大學法學碩士。
2. 臺灣大學法學碩士。
3. 臺灣大學法律系司法組第一名。","1. 中華職業棒球大聯盟會長。
2. 第六、七、九屆立法委員。
3. 國際佛光會世界總會法制長。
4. 國立體育大學博士生。
5. 桃園縣縣長。
6. 中原大學榮譽教授。
7. 臺灣警察專科學校榮譽教授。
8. 執業律師。"
"桃園市",3,1,"胡文中",54/10/30,女,"臺北市","中華文化復興在理黨","國立成功大學化學工程學
系學士畢

美國康乃迪克大學化學工
程學系博士畢","工業技術研究院化學工業研究所
光電組經理

遠東新世紀光學膜事業群
協理"
"桃園市",3,2,"魯明哲",52/12/4,"男","臺北市","中國國民黨","元智大學管理碩士
政治大學企管學士","現任桃園市議員
第12 屆中壢市長
第15、16 屆桃園縣議員
第9 屆中壢市民代表"
"桃園市",3,3,"李奇峰",78/8/24,"男","新北市","宗教聯盟","輔仁大學宗教研究所畢業","曾任；
自由時報風水專欄 老師
台灣珠寶雜誌專欄 作家
《原來風水這樣看》作家
台灣金銀珠寶協會專欄 作家
輔仁大學宗教學系第六屆宗教博覽會 籌備委員
108 台灣宗教敬天祈福大法會閭山道法副總監
現任；
國際同濟會北二區飛揚會會長
天公教道法學院院"
"桃園市",3,4,"彭俊豪",71/8/15,"男","桃園市","民主進步黨","英國南安普敦大學社會科學碩士","桃園市第一屆、二屆 市議員
健行科技大學 講師
桃園市體育會輕艇委員會 理事長
中華象棋促進協會 理事長
桃園太極氣功十八式協會 理事長
桃園市議會民進黨黨團 幹事長
民進黨桃園市黨部 執、評委
桃園市滑板體育委員會 副主委
中壢壢民獅子會 創會長
英國南安普敦大學台灣學生會 副會長
桃園縣儀隊發展協會 常務理事"
"桃園市",3,5,"林佳瑋",75/2/18,女,"嘉義市","時代力量","政治大學社會學系學士
台灣大學建築與城鄉研究所碩士","桃園市產業總工會秘書長
桃園市空服員職業工會秘書長
中華民國全國航空業總工會顧問
中華民國消防員工作權益促進會顧問"
"桃園市",3,6,"李文雄",46/2/16,"男","高雄市","無","美國休士頓大學財務金融
博士
臺灣大學商學研究所碩士
政治大學企業管理系學士","土銀保險經紀股份有限公司董事長
土地銀行常務董事
健行科技大學財務金融系副教授
金融監督管理委員會銀行局組長
財政部金融局組長"
