縣市,選區,號次,姓名,生日,性別,出生地,政黨,學歷,經歷
高雄市,1,1,晏揚清,48/1/3,男,臺中市,台灣工黨,"中興大學法商學院公共行政系法學士
臺灣師範大學三民主義研究所教育碩士、法學博士",台灣工黨副主席、主席
高雄市,1,2,王齡嬌,55/2/20,女,高雄市,中國國民黨,國立中山大學公共政策碩士、文藻語專（現改制為文藻外語大學）、光華國中、愛群國小,高雄市第六、七屆議員、90年全國青商會總會長、88年世界青商副主席、世界青商總會國際講師、高雄市中華工商文化經貿促進協會理事長、高雄市中華農業發展交流協會理事長、國立空大真理大學三信家商講師、文藻語專傑出校友
高雄市,1,3,邱議瑩,60/6/1,女,臺灣省屏東縣,民主進步黨,"高雄市道明中學
美國加州多明尼肯大學管理學碩士","第三屆國民大會代表
行政院客家委員會副主任委員
第五、七、八、九屆立法委員"
高雄市,1,4,黃綉晶,61/2/28,女,高雄市,親民黨,"國立旗山高級農工職業學校
私立大仁藥學專科學校",國立屏東大學文創所
高雄市,1,5,羅鼎城,65/8/5,男,高雄市,台灣民眾黨,國立高雄大學法律研究所碩士,"執業律師
第二屆高雄市議員"
高雄市,2,1,黃韻涵,73/1/4,女,高雄市,中國國民黨,高雄市岡山區前峰國小、台南市私立聖功女子高級中學、高雄市私立正義高級中學、美國德州休士頓大學、義守大學管理學碩士,"王金平/陸淑美聯合服務處特別助理
國民黨全國青工會副總會長
國民黨高雄市黨部副主任委員
國民黨高雄市青工會副總會長
大崗山青商會   國際貿易  商業顧問"
高雄市,2,2,邱志偉,61/7/24,男,臺灣省屏東縣,民主進步黨,"淡江大學俄羅斯研究所法學碩士
國立臺灣大學國家發展研究所法學碩士
國立中山大學大陸研究所社會科學博士","第八、九屆立法委員
高雄市政府民政局長
高雄縣政府民政處長
修憲國民大會代表
南華大學旅遊事業管理系專任助理教授
義守大學兼任助理教授
國立中正大學國際經濟所博士班
英國劍橋大學國際關係研究所
國立臺灣大學EMBA碩士班"
高雄市,2,3,李柏融,38/11/2,"男                      ",高雄市,台灣維新,台南六信高中,高雄縣茄萣鄉第十四屆鄉民代表、茄萣國中二屆家長會長、茄萣鄉調解委員、第九屆立法委員候選人、中國國民黨第十九屆中央委員會委員、茄萣區台電回饋金審查委員。
高雄市,3,1,柳淑芳,49/8/30,女,高雄市,台灣獨立黨,左營國小，左營國中，省岡農工。,"左營國小全班第一名
左營國中英文不及格
省岡農工高一全年級國文背誦第一名，中山大學公務人員英文進修班會話一百分。楠梓西青埔垃圾場抗暴第一人，顧飯碗，高雄煉油廠埋鍋造飯第一人。真貪腐，高市倒馬遊行第一人。綠皮紅骨，掏空讓利通敵，詐騙。罷免蔡英文，女版馬英九，全國第一人。"
高雄市,3,2,湯金全,35/12/15,男,臺南市,無,國立臺灣大學法律學研究所碩士,"1檢察官、法官
2.高雄市議會第四屆市議員、立法院第四五屆立法委員
3.法務部政務次長
4.高雄市副市長
5.行政院公平交易委員會主任委員"
高雄市,3,3,李郭秋蘭,39/1/19,女,高雄市,宗教聯盟,內惟國小,"曾任
高雄市立聯合醫院護理科行政人員
現任
高雄市道士職業工會副秘書長
道光山大羅群仙府顧問"
高雄市,3,4,莊于萱,74/7/19,女,高雄市,喜樂島聯盟,"楠梓國小畢
楠梓國中畢
高雄市私立三信家商畢
樹德科技大學應用外語系學士","錢豐珠寶有限公司國外業務
創光光電有限公司業務經理"
高雄市,3,5,鄭品娟,46/3/20,女,高雄市,國會政黨聯盟,"高雄,左營,明德國小
高雄,左營,海青中學
高雄,左營,左營高中
美國亞歷桑那州,亞瓦派學院﹙二年制﹚大專
美國紐約,服裝設計學院﹙二年制﹚大專","義大利波隆那自由服裝設計師
德國德國航空飛行學院專案顧問
美國紐約,展翼服裝公司,合夥人
美國紐約,克麗絲蒂娜鄭,精品店業主
美國紐約,華聖頓港,商促會,副主席"
高雄市,3,6,黃昭順,42/8/22,女,臺灣省彰化縣,中國國民黨,"台南女中
高雄醫學大學藥學系
中山大學管理學院高階經營碩士班","高雄市第一、二、三屆市議員
立法院第二至九屆立法委員
中國國民黨副秘書長、政策會副執行長、中央婦女工作會主任
中華民國自由車協會理事長
國際佛光會中華總會理事
行政院婦女權益促進委員會委員
長庚醫院、高雄醫學大學藥師
台北市衛生局衛生教育技士"
高雄市,3,7,郭新政,51/3/1,女,臺灣省基隆市,無,私立崇右企業管理專科學校,"美體考究ＢＯＤＹＷＡＶＥ創辦人
中歐國際工商學院ＥＭＢＡ碩士
法國蒙彼利埃高等商學院ＥＭＢＡ工商管理博士學程進修中"
高雄市,3,8,劉世芳,48/8/13,女,臺北市,民主進步黨,"美國奧克拉荷馬州州
立大學環境工程碩士
淡江大學化學工程系學士","現任立法院(第九屆)左楠區委員
高雄市副市長
2009高雄世運組委會常務董事
國家安全會議副秘書長
總統府副秘書長
行政院秘書長
立法院(第五屆)委員
台中縣副縣長
台北市環保局長
澎湖縣政府機要秘書
工研院副工程師"
高雄市,3,9,蘇博廷,70/3/6,男,高雄市,親民黨,"高雄市五林國小
中正預校國中部","樹德家商觀光事業科
農委會農遊台灣南區觀光大使
高雄市旅行商業同業公會副主任
放輕鬆旅行社總經理
屏東科技大學社工系肄"
高雄市,3,10,莊貽量,62/1/25,男,高雄市,台灣民眾黨,"國立中山大學高階公
共政策碩士
高雄市民防大隊副大隊長",立法委員林岱樺組織部主任
高雄市,3,11,王貴雄,42/11/12,男,會高雄市,興中同盟,國立高雄工專,81年選立委：反黑道（藍綠不敢說）。99年選議員：為人民、子孫消滅萬惡民進黨。民進黨政客背叛、相殘並出賣青年、農民、勞工之紀錄。97年蘇謝、101蘇蔡總統初選殺到見骨；83年省長選舉、民進黨政客50%支持宋楚瑜，民進黨陳定南大輸150萬票85年總統選舉民進黨政客80%支持李登輝，民進黨彭明敏大輸三百萬票，這就是民進黨政客
高雄市,4,1,林岱樺,61/8/4,女,高雄市,民主進步黨,"1.天主教輔仁大學德文系畢業。
2.美國威斯康辛大學大眾傳播碩士。
1.德國卡賽爾綜合大學德語教學研究結業。
2.第五、六、七、八、九屆立法委員。
3.行政院青輔會主委。
4.2009年民進黨提名參選高雄縣長;因縣市合併停選。
5.立法院經濟委員會召集委員。
6.民進黨(第八、九屆)全國黨代表。
7.民進黨第十、十一屆中央執行委員。
8.民進黨第十四屆中央評議委員。",
