"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"彰化縣",1,1,"柯呈枋",61/11/30,"男","彰化縣","中國國民黨","國立中正大學勞工研究所碩士","彰化縣副縣長
彰化縣政府機要秘書
彰化縣政府勞工處長
彰化縣政府計畫處長
彰化縣政府秘書
法務部科長
法務部專員
勞委會科員
勞動部勞動力發展署雲嘉南分署長
臺中市政府參事
第九屆立法委員"
"彰化縣",1,2,"陳秀寳",61/10/11,女,"彰化縣","民主進步黨","西勢國小、福興國中、精誠高中、建國科技大學二技","立法委員陳進丁國會助理、鹿港國中家長會副團長、彰化縣議會第十七 十八 十九屆縣議員、民進黨彰化縣議會黨團幹事長"
"彰化縣",2,1,"張瀚天",57/9/5,"男","彰化縣","中國國民黨","國立暨南國際大學高階經營管理碩士","彰化縣第18 19屆議員
彰化市農會第16 17屆理事長
彰化縣榮華慈善會第5屆理事長
彰化縣八卦山同濟會第35屆會長"
"彰化縣",2,2,"黃秀芳",60/11/10,女,"彰化縣","民主進步黨","靜宜大學外文系畢業","第九屆立法委員
彰化縣第16、17、18屆議員
民主進步黨全國黨代表
立法委員周清玉服務處主任
立法委員姚嘉文服務處助理
關懷文教基金會執行長
彰化縣慢速壘球協會理事長
台灣關懷婦女協會理事長
彰化縣花壇愛心慈善會永久會員
東海大學人力資源管理班結業"
"彰化縣",2,3,"黄玉芬",71/11/10,女,"彰化縣","無","公費留美匹茲堡州立大學企業管理碩士畢業南開科大企管全校第一名畢業彰安國中忠孝／民生國小","1.曾任彰化縣議員2.曾任彰化市民代表3.現任彰商英文教師/建國科大國際企業管理系教師4.全國鋼琴大賽獲公費維也納深造資格5.世界小姐選拔獲最佳人緣獎6.柔道黑帶貳段代表至日本參賽7.美國PSU財務長8.虎頭蜂專家9.主持關懷廣播十年"
"彰化縣",3,1,"謝衣鳯",66/7/12,女,"彰化縣","中國國民黨","政治大學經濟學博士","中國國民黨第20屆中央委員
國家政策研究基金會助理研究員
彰化縣體育會副理事長
財團法人謝言信謝林玉鶯文教基金會執行長
立法委員鄭汝芬國會辦公室主任
中國生產力中心管理顧問師
吳敦義辦公室新媒體主編
彰化縣青工會總會長
大葉大學財務金融系兼任講師"
"彰化縣",3,2,"楊麗香",53/9/13,女,"彰化縣","無","銘傳商專","北斗鎮第17、18屆鎮長"
"彰化縣",3,3,"劉銀鬃",43/11/21,"男","彰化縣","台澎黨","中原大學工業工程系畢","富士康廣告協理"
"彰化縣",3,4,"洪宗熠",58/1/27,"男","彰化縣","民主進步黨","國立彰化師範大學行管、企管雙碩士，國立中興大學公共行政系法學士，精誠高中，二林國中，二林國小。","立法院第9-5會期內政委員會召集委員，彰化縣議會15、16、17、18屆縣議員，民進黨彰化縣議會黨團召集人，中華民國圍棋協會副理事長，2018埤頭同濟會會長，2014二林獅子會會長，2008二林青商會會長。"
"彰化縣",4,1,"林怡彣",65/6/7,女,"彰化縣","勞工黨","明道中學",
"彰化縣",4,2,"洪祐輔",30/1/2,"男","彰化縣","無","省立員林初中
省立員林高中
省立屏東農專
私立中國文化學院","省立台中區農業改良場。省立台北區農業改良場。県立池上初中。県立永靖農校。省立員林實驗中學。県立員林初中。県立員林國中。縣立員林大同國中等校教師"
"彰化縣",4,3,"蕭翠瑩",71/2/12,女,"彰化縣","綠黨","社頭國小
社頭國中
嶺東商專
世新大學性別研究所
嶺東科技大學財經法律研究所","補教業教師
中國人壽保險業務員
台灣綠能臨門一腳協會理事長"
"彰化縣",4,4,"陳素月",55/1/18,女,"南投縣","民主進步黨","1.文化大學史學研究所碩士。
2.文化大學史學系。
3.台中女中。
4.南投縣名間國中、僑興國小。","1.現任第九屆立法委員。2.第8屆立法委員。3.第16屆、17屆彰化縣議員。4.國立空中大學講師。5.財團法人拓展文教基金會執行長。6.魏明谷立委國會助理。7.大葉大學兼任講師。8.民進黨第10屆~16屆全國黨代表。9.彰化縣南投同鄉會總幹事。10.員林百果山獅子會第"
"彰化縣",4,5,"蕭景田",43/1/1,"男","彰化縣","中國國民黨","社頭朝興國小
省立永靖農工畢業
陸軍官校專修班畢業","彰化縣議會第14、15、16屆副議長
彰化縣社頭鄉第11、12屆鄉長。
彰化農田水利會會務委員、台灣省農會常務監事、第7屆立法委員、國民黨第18屆第2~4任、第19屆第1~3任及第20屆第1任中常委
國民黨立法院黨團第7屆第3會期黨團副書記長、中華民國農會理事長、中華民國觀光旅館商業"
"彰化縣",4,6,"陳志傑",56/9/1,"男","南投縣","安定力量","台灣警察專科學校","92年度警正官等訓練合格，考試院特種考試及格，台北市警局特勤中隊，南投縣政府警察局，台中市政府警察局，彰化縣警察局，善願文教基金會董事，警權會督事。"
"彰化縣",4,7,"何倍爾",75/9/14,"男","新竹市","勞動黨","國立陸軍專科學校高中部","勞動部勞資爭議調解人"
