"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"臺南市",1,1,"康淑敏",48/6/25,女,"高雄市","中華聯合黨","遠東科技大學專科畢業","中華聯合黨秘書"
"臺南市",1,2,"顏耀星",47/10/16,"男","臺南市","台灣民眾黨","˙新進國小
˙興國中學
˙台南一中
˙東吳大學
˙ 日本國立和歌山大學經營學碩士","˙ 國民大會第二、三屆代表
˙ 台南縣政府工商發展投資策進會總幹事
˙ 興國中學教師
˙ 南榮科技大學專兼任講師
˙ 國立新營高工基金會創會董事長
˙ 月亮基金會執行長
˙ 明世基金會執行長
˙鳳凰同濟會顧問
˙ 新營青商會榮譽會長
˙ 跨業交流會榮譽會員"
"臺南市",1,3,"賴惠員",50/6/5,女,"嘉義市","民主進步黨","1. 國立中正大學政治所碩士
2. 國立嘉義大學獸醫科","1. 第一、二屆台南市議員
2. 國立嘉義大學講師
3. 嘉義大學台南縣校友會理事長
4.台南縣政府顧問
5. 台南縣警察局義警顧問團長
6. 民進黨薦任任務型國大代表
7. 新營高中家長會會長"
"臺南市",1,4,"蔡承攸",76/7/7,"男","臺北市","合一行動聯盟","國立北門農工畢業","藍創國際股份有限公司董事長
艾芙股份有限公司總經理"
"臺南市",1,5,"蘇志仁",47/10/16,"男","臺南市","宗教聯盟","世界新聞專科學校三
年制報業行政科畢業
(現改名為世新大學)","曾任瑞登國際科技公司總經理
現任宗教聯盟台南市市黨部主任委員"
"臺南市",1,6,"黃天辰",42/10/10,"男","臺南市","台灣民意黨","1.國立中正大學高階主管管理碩士","1.臺灣民意黨創黨主席
2.首府大學講師
3.義守大學、南榮技術學院、興國管理學院等台南推廣教育教學中心主任
4.奧斯汀學院台灣執行長
5.行政院勞委會職訓咨詢輔導委員
6.台南市記者協會創會理事長
7.民意日報社報業有限公司董事長
8.臺灣松電工業科技股份有限公司董事長
9.著作：揭開人類生命的奧秘"
"臺南市",1,7,"蔡育輝",48/9/25,"男","臺南市","中國國民黨","新營國小、新東國中
臺南二中、興國中學
文化大學法律系學士
中正大學政治學系碩士","國立中正大學政治所博碩班受邀講座
科技部南部科學工業園區管理局第二屆勞資爭議調解委員
北臺南家扶中心扶幼委員
救國團南市指導委員
紅十字會臺南縣支會理事
臺南縣總工會常務監事
臺南縣十五、十六屆議員
臺南市一、二、三屆議員。"
"臺南市",2,1,"王章記",59/6/22,"男","臺南市","宗教聯盟","中原大學化學系畢業
國立台南第二高級中學","曾任三商美邦人壽保險業務員
現任1. 社團法人台灣護家協會理事長 2.家長"
"臺南市",2,2,"李武龍",65/4/16,"男","高雄市","中國國民黨","遠東技術學院企業管理系畢業(現為遠東科技大學)","臺南縣第15屆議員
臺南市政府市政顧問
財團法人臺南市私立李
黃玉蘭社會福利慈善事
業基金會董事
南縣區漁會理事長"
"臺南市",2,3,"郭國文",56/3/11,"男","臺南市","民主進步黨","國立成功大學政治經
濟研究所博士
國立台灣大學國家發
展研究所碩士","第九屆立法委員
行政院勞動部政務次長
長榮大學助理教授
台南市議會第一、二屆市議員
台南縣政府行政管理處處長"
"臺南市",3,1,"陳西安",47/11/25,"男","臺南市","無",大學,"曾服務於：
1. 台中縣豐原市公所工務課
2. 台南市政府工務局都市計畫課及下水道課
3. 台南市安南區公所經建課"
"臺南市",3,2,"童小芸",60/7/21,女,"高雄市","中國國民黨","長榮大學高階管理碩士（EMBA）","臺南市北區第三屆里長聯誼會會長
臺南市北區振興里第二、三屆里長
臺南市北區振興社區發展協會理事長
臺南市北區廿二屆婦女會理事長
臺南市蘭馨交流協會監事
臺南市北區振興里守望相助隊隊長"
"臺南市",3,3,"陳亭妃",63/7/19,女,"臺南市","民主進步黨","協進國小
中山國中
家齊女中
文化大學
長榮大學經營管理碩士
長榮大學經營管理博士","新聞記者、主播
第14、15、16屆台南
市議員
第7、8、9屆立法委員
立法院民進黨團正、副
書記長、副幹事長
立法院外交及國防召委
立法院教育及文化召委
民進黨台南市黨部主委
民進黨中常委、中執委
民進黨2014年市長選
舉對策委員會委員
凱達格蘭基金會董事長"
"臺南市",3,4,"鄧秀寶",49/9/10,女,"桃園市","親民黨","日新國小
靜修女中
銘傳商專商業設計科","第十三任總統副總統選舉被連署人
第7、8、9屆立法委員候選人
台南市文化推廣秘書長
民主太平洋聯文化科技委員
國合會顧問
新竹市政府顧問
法國馬克希姆學院飯店
商業管理碩士"
"臺南市",4,1,"蔡明峰",48/3/21,"男","臺南市","無","嘉南藥理專科學校二年制（現為嘉南藥理大學）","成功大學會計碩士學分班
金融考試錄取中等
國教署教師專業審查委員
高職學校訪評委員
新化高中基金會董事、家長會長
民進黨全國黨代表
南市黨部評委召集人
蘇貞昌臺南昌友會聯絡人
賴清德、葉宜津、侯水盛服務處主任
臺灣企銀(考懲、勞方委員)
信用保證基金(董事長特助)
全國高中職家長會長副理事長"
"臺南市",4,2,"温米樂",49/9/19,"男","高雄市","圓黨","專科","・圓黨主席
・台南市救國團美術老師
・台南第三屆文物協會監事
・中華民國彌勒世界慈善會理事長
・彌勒內院主持
・台南、基隆、台北市美術詩書畫街頭藝人"
