"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"嘉義縣",1,1,"黃俊雄",55/4/2,"男","嘉義縣","喜樂島聯盟","省立屏東師範專科學校畢業","嘉義縣東石鄉塭港國小教師
津津股份有限公司業務代表
盈聚建材有限公司業務代表
代佑實業有限公司生管課長
永恆興機具廠有限公司總經理
黃裳元吉國際開發股份有限公司董事長"
"嘉義縣",1,2,"王啓澧",53/11/4,"男","嘉義縣","中國國民黨","國立成功大學畢業
興國中學畢業
鳳和中學畢業
水上國小畢業","第18、19屆嘉義縣縣議員
國民黨嘉義縣黨部義務主任委員
第15、16屆水上鄉鄉長
嘉義縣政府計畫室主任
水上鄉公所秘書
興華中學教師"
"嘉義縣",1,3,"黃奕瑄",60/1/28,女,"嘉義縣","中華統一促進黨","國立空中大學社會科學系
嘉義高中
玉山國中
東榮國中
龍港國小","107嘉義縣第19屆議員候選人
國民黨黨務書記
先馳運動資訊開發有限公司董事
嘉義縣太保市青年工作委員會會長"
"嘉義縣",1,4,"蔡易餘",70/3/14,"男","嘉義市","民主進步黨","嘉義市崇文國小
水上鄉忠和國中
嘉義高中
臺灣大學財經法律系","萬國法律事務所律師
民主進步黨嘉義縣黨部主委
立法院第九屆第3、4會期司法委員會召委
立法院民進黨團副幹事長
台灣啤酒籃球隊領隊
數位匯流發展協會理事長"
"嘉義縣",2,1,"許能通",42/3/20,"男","嘉義縣","無","南華大學非營利事業管理研究所碩士","一、嘉義縣農民權益促進會創辦會長
二、嘉雲人權會創會會長
三、雙福寶佛門老人養護機構創辦人"
"嘉義縣",2,2,"許韶珍",58/9/15,女,"嘉義縣","喜樂島聯盟","1.英國德蒙福大學多媒體製造設計研究所
2.國立嘉義大學園藝系
3.國立嘉義家職綜合家政科
4.私立協同高級中學
5.嘉義縣民雄國小","嘉義縣民雄鄉公所建設課文書
嘉義縣新港鄉農會推廣辦事員
台中弘光科技大學兼任講師
國立勤益技術學院兼任講師
國立台灣大學碩士級專案助理"
"嘉義縣",2,3,"林國慶",54/11/2,"男","嘉義縣","無","私立育德工商建築科畢業","國立中正大學成人及推廣教育中心研習縣市議會學士學分班結業
嘉義縣第十四、十五屆縣議員
嘉義縣第六屆立法委員
販夫走卒、庶民老百姓"
"嘉義縣",2,4,"簡明廉",50/9/12,"男","嘉義縣","無","高中畢業。","廣東省佛山市台商會分會會長、廣東省廣州市天河台商協會副會長、廣東省佛山市龍嶺天下貿易有限公司總經理 、高雄市天明生活股份有限公司營運長"
"嘉義縣",2,5,"陳明文",43/5/13,"男","嘉義市","民主進步黨","私立東海大學哲學系畢業。","嘉義縣議會第九屆議員。
嘉義縣議會第十屆議長。
第四屆立法委員。
嘉義縣第十四、第十五屆縣長。
第七、八、九屆立法委員。"
"嘉義縣",2,6,"王金山",58/9/10,"男","嘉義縣","台灣維新","台中一中","台灣大學農業經濟系、阿里山薛金輝筍工王香琴之子、東京奧運台灣正名運動嘉義縣召集人、
嘉義縣選委會委員、第十六屆嘉義縣議員（治水專案小組召集人）、立法院台灣國會辦公室農業法案助理、立委蘇煥智何嘉榮蔡啟芳服務處主任、民進黨嘉義縣黨部執行長、番路鄉半天岩紫雲寺總務主任"
