"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"基隆市",0,1,"蔡適應",62/6/14,"男","臺北市","民主進步黨","淡江大學戰略所碩士
東海大學政治系","立法院外交國防委員會召集委員、黨團副幹事長、台灣歐洲議會友好協會會長
基隆市議員
陸軍志願役指職軍官班第一期、備役上尉
基隆觀光協會理事長
家扶中心助養人
立委王拓服務處副主任
臺北大學都市計劃研究所博士候選人
比利時魯汶大學訪問學人
經國管理學院講師
民進黨中央黨部發言人、市黨部主委"
"基隆市",0,2,"宋瑋莉",46/7/29,女,"基隆市","中國國民黨","國立海洋大學海洋法律研究所碩士","基隆市第15、16、17、18、19屆市議員
基隆市第17屆副議長
基隆市第18屆議長
基隆市緯均弱勢關懷服務協會理事長
基隆市瑋捷關懷服務協會理事長
中國國民黨第19屆全國黨代表總召集人
中國國民黨第1617181920屆全國黨代表"
"基隆市",0,3,"張耿輝",50/6/24,"男","基隆市","無","七堵國小明德國中國立基隆商工畢業","基隆市議會第1516171819屆市議員
前基隆市團管區七堵區暖暖區後備軍人聯絡官督導官
七堵區團委會會長
七堵國小明德國中私立光隆家商國立基隆中學家長會會長"
"基隆市",0,4,"楊石城",51/8/2,"男","基隆市","國會政黨聯盟","中山國小、中山國中、省立基中、中國文化大學觀光系畢業。","偉成海軍軍艦福利社供應商、左營海軍新兵訓練中心教育班長、奧林匹克運動器材量販店負責人、仁正社區發展協會第三、四屆理事長、基隆市仁正里第17屆里長、基隆市第16、17、18、19	屆議員、中山愛心協會榮譽理事長、現任市議員。"
