"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"新北市",1,1,"歐崇敬",56/3/7,"男","高雄市","無","中國文化大學哲學博士　
政治大學法學碩士　
輔仁大學外語文學士","卓越雜誌總編輯　房地產雜誌編輯
總監　佛光大學哲學中心主任　南
華大學中日思想中心主任　環球科
技大學公關系主任　中州科技大學
副校長及講座教授　歐崇敬電視台
創辦人及主持人"
"新北市",1,2,"陳昭宏",69/9/20,"男","宜蘭縣","無","世新大學法律系畢業","彰化縣永靖郵局郵差
新北市政府警察局
　　　海山分局海山派出所警員
　　　交通警察大隊蘆洲分隊警員
中國文化大學
　　　法律學系碩士在職專班學生"
"新北市",1,3,"張衞航",65/9/30,"男","臺北市","時代力量","淡水國小畢業
淡水國中畢業
台北市立中正高中畢業
私立中國文化大學法律系財經組畢
業
私立中國文化大學法律學研究所碩
士","法律扶助基金會審查委員及扶助律
師
經濟部中小企業榮譽律師
台北律師公會民事法委員會暨民法
判例研究小組委員
宏道法律事務所合署律師"
"新北市",1,4,"張立蔭",56/9/20,"男","臺南市","無","一、國防大學政治作戰學院新聞系
78年班學士畢業。
二、國防大學政治作戰學院新聞研
究所82年班碩士畢業。","一、2016台南市立法委員擬參選
人。
二、2018台北市市長擬參選人。
註：民國97年7月1日自國防部退
伍。"
"新北市",1,5,"余長欣",66/8/18,"男","宜蘭縣","綠黨","美國南加州大學營建管理碩士
國立台灣大學土木系學士
建國中學
內壢國中
內壢國小","民視節目製作人
華碩電腦產品經理
台灣三星電子業務副理
佳世達科技專案管理師
瀚宇彩晶產品管理師
美國ＥＭＭＡ營造專案管理工程師
長虹天薈社區管委會主委
１１號公園社區管委會主委
和毅上景社區管委會主委"
"新北市",1,6,"呂孫綾",77/3/12,女,"臺北市","民主進步黨","淡水國小
聖心女中
文化大學政治學系
文化大學政治研究所碩士","第九屆立法委員
民進黨立法院黨團副書記長
民進黨第141516屆中央執行委員
立法院兒少權利連線副會長
淡信慈善基金會執行長
淡水民主協會常務理事
文化大學政治研究所博士生"
"新北市",1,7,"洪孟楷",72/1/1,"男","臺北市","中國國民黨","美國南加州大學國際公共政策管理系　碩士
國立台灣大學政治系　碩士","立法院　法案助理
台北縣政府蔡家福副縣長　秘書
嘉義市政府文化局　局長
行政院江宜樺院長辦公室　專門委員"
"新北市",1,8,"陳榮太",33/8/19,"男","嘉義縣","台灣整復師聯盟工黨","嘉義縣民雄高農","嘉義地政事務所雇員
台灣省國術會推拿師
中國藥用植物學會理事
世脊联台灣總會委員志工隊長
台灣整復師联盟工黨委員"
"新北市",2,1,"林淑芬",62/1/17,女,"彰化縣","民主進步黨","彰化女中
中興法商社会系
世新大學社会發展研究所","第十四、十五屆台北県议員
第六、七、八、九屆立法委員"
"新北市",2,2,"龍大智",52/6/30,"男","彰化縣","合一行動聯盟","1.五股國中畢業；2.五股國小畢業
3.天主教四維幼稚園","社團法人中華方舟之愛幸福人生促
進會理事長；社團法人中華福源
521關懷協會監事主席；社團法人
中華金門福利關懷協會理事；合一
行動聯盟黨代表暨評議委員。"
"新北市",2,3,"黃桂蘭",46/2/25,女,"花蓮縣","中國國民黨","台北城市科技大學電子商務研究所","1.蘆洲市市民代表
2.臺北縣第15、16屆縣議員
3.新北市政府市政顧問
4.新北市第1、3屆市議員"
"新北市",3,1,"羅和讚",50/5/14,"男","臺南市","無","台北大學碩士
成功大學學士
嘉義高中
後壁國中
菁寮國小","實踐大學夜間部訓導組組長
實踐大學圖書館行政組組長
實踐大學服務團指導老師
98年增設A2a站(原博愛站)發起人
加速興建A2a站(原博愛站)促進會
主任委員"
"新北市",3,2,"李翁月娥",47/1/5,女,"新北市","無","喬治商職。","政大行專畢業
私立文化大學會統系結業
國立政治大學地方政府研究中心結
業
第13、14屆蘆洲鄉民代表
第15屆蘆洲鄉民代表會副主席
第1、2屆蘆洲市民代表會副主席
第3、4屆蘆洲市長
第1、2、3屆新北市議員
台灣環保協會、社區健康營造協
會、愛心關懷協會、蘆洲環保協
會、蘆笙會、蘆笙環保志工大隊發
起人"
"新北市",3,3,"李崇威",44/11/12,"男","香港","無","私立中華工專電機畢
私立珠海大學新聞系學士
私立珠海大學新聞研究所碩士","中華航空公司退休
中國同盟會主席
中山研究學院院長"
"新北市",3,4,"李旻蔚",77/11/4,女,"臺北市","台灣民眾黨","聖心小學
金陵女中
國立暨南大學國際企業學系","新北市議員李余典執行秘書
三重區體育會副理事長
三重客家會總幹事
救國團三重區團委會副會長
國際扶輪3490地區陽光扶輪社社員
300B1區真善美獅子會獅姐
新北市建設發展促進會幹事
新北市義消防宣三重分隊員
三重三和夜市商圈促進會幹事
三重聯邦、崇德社區幹事
三重田園休閒協會幹事"
"新北市",3,5,"蘇卿彥",28/3/13,"男","新北市","無","國立台灣大學法學博士","1. 企元貿易行股份有限公司董事長
2. 三重扶輪社理事
3. 蘆洲扶輪社創社社長
4. 中德文經協會理事
5. 台大新北市校友會常務理、監事"
"新北市",3,6,"余天",37/3/1,"男","新竹市","民主進步黨","新竹縣立第一中學附設補習學校","現任第九屆立法委員現任民進黨新
北市黨部第五屆主任委員第七屆立
法委員民進黨第十六屆中央執行委
員民進黨新北市黨部第四屆主任委
員台灣媳婦關懷促進協會理事長中
華民國歌舞藝能服務人員職業工會
聯合總工會理事長臺北市歌舞藝能
服務人員職業工會理事長中華民國
關懷藝人基金會董事"
"新北市",3,7,"林宜瑄",71/10/11,女,"臺北市","綠黨","重陽國小
民權國中
西松高中
嘉義大學特殊教育系學士","國立台北教育大學數學與資訊教育
研究所研究生
重陽國小特教老師
板橋扶青團會計
綠黨中執委兼發言人
綠黨中評委"
"新北市",4,1,"朱約翰",46/1/14,"男","臺北市","無",,"台湾建國聯盟起造人（非政府組織）
家利企業有限公司股東（廢五金業）
職業聯結車，大客車駕駛1983年持照至今。
新北市第六屆不動產代銷經紀商業同業公會理事
大東亞國際徵信企業有限公司（管理顧問業）"
"新北市",4,2,"葉宏仁",45/6/4,"男","新北市","一邊一國行動黨","私立東海中學電工科","建設公司職員"
