"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"南投縣",1,1,"馬文君",54/12/1,女,"南投縣","中國國民黨","1逢甲大學經營管理碩士
2嘉南藥專(嘉南藥理科技大學)藥理科畢業
3大成國中
4育英國小","1第七.八.九屆立法委員
2第十四.十五屆埔里鎮長
3南投縣第十三屆縣議員
4南投縣民防總隊義警大隊大隊長
5南投縣家扶中心委員"
"南投縣",1,2,"蔡培慧",60/9/2,女,"南投縣","民主進步黨","1.頭社國小
2.福和國中
3.士林高商
4.致理商專
5.世新大學社會發展研究所碩士
6.臺灣大學生物產業傳播暨發展學系博士","1.九二一震災重建基金會執行秘書2000-2008
2.臺灣農村陣線發言人暨秘書長2008-2016
3.世新大學社會發展研究所副教授2009-
4.第九屆不分區立法委員2016-
5.立法院教育及文化委員會召集委員
6.公督盟.口袋國會評鑑優秀立委"
"南投縣",2,1,"許淑華",64/10/15,女,"南投縣","中國國民黨","逢甲大學經營管理碩士畢","一.南投縣議會第15屆議員.
二.南投縣南投市第8.9屆市長.
三.南投縣商業總會理事長.
四.95年全國社會優秀青年.
五.立法委員第8.9屆.
六.中國國民黨第18屆中央常務委員."
"南投縣",2,2,"謝福全",40/6/26,"男","南投縣","宗教聯盟","朝陽科技大學商學碩士","警員
分隊長
警正偵查員"
"南投縣",2,3,"吳承叡",84/6/9,"男","臺中市","台灣基進","國立彰化師範大學工學學士學位
國立臺中高工電機科畢業","好民文化行動協會候補監事"
"南投縣",2,4,"傅文佐",64/3/12,"男","臺中市","合一行動聯盟",,"亞洲大學社會工作學系碩士班學生
中興大學社會系社會工作組畢業
朝陽科技大學學生諮商中心組員"
"南投縣",2,5,"陳癸佑",57/9/15,"男","南投縣","民主進步黨","一.南投縣立鳳凰國小
二.南投縣立鹿谷國中
三.台灣省立竹山高中
四.台灣警察專科學校
五.中央警察大學","一.台北市政府警察局大安分局警員
二.南投縣政府警察局集集分局警員
三.南投縣政府警察局草屯分局巡官
四.南投縣水里鄉第十七屆及第十八屆鄉長"
