"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"連江縣",0,1,"曹爾忠",43/8/24,"男","連江縣","無","馬祖高中
中央警察大學法學士
法學碩士","連江縣警察局長
臺灣警察專科學校兼任講師
馬高校友會理事長、家長會長
第2、3、4、6、7屆立法委員
交通、內政、國防、法制召集委員
中國國民黨立法院書記長
中央政策研究部主任
中華民國路跑協會理事長
檔案協會理事長
道安促進會理事長
退伍軍人協會理事
紅十字會常務監事連江(馬祖)支會會長
台韓國會聯誼會長
連江縣籃委會主委
退伍軍人分會理事長
憲兵專科學校預士班
美國杜克大學政經研習班結業"
"連江縣",0,2,"李問",78/3/4,"男","新竹市","民主進步黨","美國芝加哥大學社會科學碩士學程碩士
國立台灣大學人類學系學士","民主進步黨發言人
民主進步黨公關處副主任
民主進步黨媒體創意中心副主任
遠景基金會助理研究員
國家安全會議研究助理
民主進步黨國際事務部專員
英文台北時報Taipei Times記者"
"連江縣",0,3,"陳雪生",41/1/1,"男","連江縣","中國國民黨","省立豐原商職畢業","第三屆國大代表
第三、四屆連江縣縣長
雪源文教基金會董事長
馬祖馬尾經貿交流協會理事長
國立馬祖高中校友會理事長
連江縣體育會理事長
第八、九屆立法委員"
"連江縣",0,4,"李克焜",42/2/12,"男","臺中市","國會政黨聯盟","陸軍專科","功德會理事長
易禪道競技
愛心黨主席"
"連江縣",0,5,"王長明",47/2/22,"男","連江縣","無","連江縣中山國中畢業","連江縣議會第5屆議員
金馬自救會成員
還我祖先土地自救會長"
