"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"嘉義市",0,1,"陳泰山",38/10/5,"男","嘉義市","無","一、淡江大學國際事務與戰略研究所畢業法學碩士。
二、省立屏東農專三專獸醫科畢業。
三、省立後壁高中畢。
四、嘉義縣竹崎初中畢業。","一、臺北市獸醫師公會第十屆常務監事。
二、臺北市天母陳獸醫院獸醫師院長。
三、嘉義市居財紀念動物醫院院長。
四、玄奘大學律師高考學分班結業。
五、日本東京都獸醫師公會海外會員"
"嘉義市",0,2,"凌子楚",54/9/19,"男","嘉義市","無","台灣大學法學碩士","凌生有限公司負責人
文法解密套書作者
華視新聞廣場主持人
嘉義之音電台主持人"
"嘉義市",0,3,"戴寧",71/2/23,女,"嘉義市","無","1.嘉師附小、崇文國小(舞蹈班)
2.蘭潭國中(美術班)、大業國中
3.國立嘉義高商
4.台中技術學院(二年制)
5.嘉南藥理科技大學
6.國立嘉義大學公共政策研究所","義市第八、九、十屆議員
嘉義市自行車委員會主委
嘉義市跆拳道委員會主委"
"嘉義市",0,4,"黃宏成台灣阿成世界偉人財神總統",57/3/20,"男","桃園市","無","東吳法律","2018嘉義市長候選人，2016嘉義市立委候選人，2014嘉義縣長候選人，第4屆國大代表候選人，財神總統出版（社）負責人，美國維吉尼亞大學拿破崙希爾基金會進修，青創總會17屆公關副主委，台北復旦大學校友會監事，電台主持人，三輪車凸歸台灣，國際知名行動藝術家，台灣第一名偉人"
"嘉義市",0,5,"傅大偉",52/4/29,"男","嘉義市","中國國民黨","中正大學公共與國際事務碩士
南榮科技大學 
蘭潭國中
民族國小","嘉義市7-10屆議員 東川里里長　救國團東區委員會會長　籃球推廣協會理事長　嘉義家職家長會會長　後指部東區輔導中心主任　警察志工大隊中隊長　東區扶輪社社長　諸羅山同濟會會長　嘉義市青創會理事長　中小企業跨業交流協會會長　文財殿附屬文通慈善會顧問　嘉義市消防局第二大隊顧問"
"嘉義市",0,6,"王美惠",54/4/15,女,"嘉義市","民主進步黨","嘉義大學ＥＭＢＡ碩士","現任嘉義市議員。
民主進步黨全國黨代表。
嘉義市扁友會後援會副總幹事。
511台灣正名運動嘉義代表。
台灣一邊一國嘉義代表。
前市議員江熙哲(江總)服務處主任。	台灣優先  富樂嘉義  平民參政"
"嘉義市",0,7,"蔡永泉",41/1/21,"男","嘉義市","無","嘉義市大同國小
嘉義市輔仁中學初、高中
淡江大學英國語文學系","嘉義市議會第十屆議員(現任)
嘉義市議會第七、八、九屆議員
嘉義市輔仁中學高中英文教師"
"嘉義市",0,8,"郭瑞豐",46/4/12,"男","嘉義縣","國會政黨聯盟","立中正大學政治研究所碩士
大林國中、排路國小","全民執政黨黨主席
國立嘉義高商組長兼課外活動老師
嘉義市青少年輔導關懷協會創會理事長
台灣嘉義地方法院少年輔導老師
嘉義市警局志工中隊長
考試院72年乙等特考(相當三等高考)
106年榮膺嘉市政府模範父親表揚
106年榮獲司法院長少年輔導志工老師頒獎表揚"
