"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"臺北市",1,1,"王郁揚",75/7/8,"男","菲律賓","無","國立體育大學 運動保健學系
台北市立陽明高級中學
台北市立石牌國民中學
台北市立明德國民小學
台北市私立正大幼兒園","聯合國世界衛生組織菸草控制框架公約無煙菸草認證反煙專家
台灣菸草減害協會 發起人兼理事長
台灣感人有限公司 負責人
德國漢諾威展覽集團業務行銷經理
電子時報工商記者
澳洲打工度假兩年背包客"
"臺北市",1,2,"吳思瑤",63/5/28,女,"新北市","民主進步黨","台灣大學政治學研究所碩士
輔仁大學西語系、日語系文學雙學士","第九屆立法委員。第10、11、12屆台北市議員。民進黨發言人。民進黨中常委、中執委、中評委。美國國務院政治菁英領袖計畫台灣政界代表。"
"臺北市",1,3,"李婉鈺",61/3/27,女,"臺北市","一邊一國行動黨","文化大學建築暨都市計畫博士
南加大土木工程系","新北市第一、二屆市議員新北國際青商會長中華航空公司空服員台灣高鐵土木工程師台北市雲林同鄉會監事板橋雲林同鄉會榮譽理事長雲林媳婦女兒聯誼會台北市婦女新知協會顧問台灣蕃薯藤協會顧問新北市木材/家具商業同業公會顧問新北市牙醫、藥師、西藥商公會顧問"
"臺北市",1,4,"孫士堅",48/10/6,"男","臺北市","合一行動聯盟","光武工專電機工程科畢","1.基督權能福音教會　傳道
2.中心里里長
3.北投區體育會理事長
4.光武工專校友會理事長
5.保一總隊警友會顧問團團長
6.一德里社區發展協會總幹事
7.北投後備軍人輔導中心輔導員
8.陽明山青商會、北投七星獅子會、新北投同濟會會員"
"臺北市",1,5,"賴宗育",67/6/7,"男","彰化縣","人民民主黨","輔大法律系畢業。","重度腦性痲痺41年，賣口香糖不靠父母。
用殘障生命衝撞社會制度。
推動障礙者自立運動。
看盡社會不平，挺身參選。"
"臺北市",1,6,"方儉",49/1/12,"男","臺北市","綠黨","東海大學生物學系","綠色消費者基金會秘書長
專欄作家 金鼎獎公共服務獎記者
天母合眾國社區雜誌發行人
美國品質學會中國首席代表
美國三大汽車公司供應商品質系統總培訓師
綠黨發起人
台灣清潔日發起人
台灣地球日發起人"
"臺北市",1,7,"汪志冰",46/4/20,女,"臺中市","中國國民黨","美國東密西根大學文學碩士、東吳大學德文系、文藻外語學校德文科","第九~十三屆臺北市議員、第三屆國大代表、中華民國全國總工會秘書長、經濟部航太推動小組經理、經濟部投資業務處專員、日本亞太經貿研究員、臺北市北投區體育會理事長、臺北市六桂宗親會理事長、小樹苗勵志獎學金委員會主任委員、歡喜做愛心公益會理事長、中華天使兒童村台北村村長"
"臺北市",2,1,"何志偉",71/5/14,"男","美國","民主進步黨","美國南加州大學公共行政碩士","國立政治大學資訊管理博士生
第九屆立法委員
第十一、十二屆台北市議員
民進黨第十四、十五屆中常委
民進黨第十六屆中評委"
"臺北市",2,2,"郭啟源",62/10/14,"男","新北市","中華統一促進黨","懷生國中畢業","中華統一促進黨　道玄黨部主委"
"臺北市",2,3,"巫超勝",35/6/29,"男","苗栗縣","宗教聯盟","成功中學","中華民國廣播節目節目主持人、採訪記者
現任
台北市北元協會理事長"
