"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"金門縣",0,1,"洪志恒",57/10/7,"男","金門縣","金門高粱黨","卓環國小黃埔分校
烈嶼國中
金門高中
東吳大學法律系畢業","法律實務24年以上"
"金門縣",0,10,"程耀德",75/2/24,"男","高雄市","中華統一促進黨","金門高職","中華統一促進黨-金門黨部、主任委員，目前就讀金門大學進修部"
"金門縣",0,2,"許丕肯",54/6/12,"男","金門縣","中華新住民黨","逢甲大學學士
金門高中
金城國中
莒光國小","金門縣社區規劃師協會理事長
Ｇｒｅｅｎ　Ｐｏｗｅｒ　Ｂｕｓ　Ｃｏｍｐａｎｙ,Ｕ.Ｓ.Ａ.自動工程師
金門縣低碳島綠能協會理事長
遠東科技大學金門辦事處主任
東南綠能公司總經理"
"金門縣",0,3,"陳滄江",44/6/10,"男","金門縣","無","淡江大學管理學博士
南華大學管理學碩士
世新大學管理學學士
空軍幼年學校
金城國中金寧國小","金門縣議會第五屆、第六屆議員
國立金門大學兼任助理教授
朝陽科技大學兼任講座教授"
"金門縣",0,4,"林志錦",61/5/7,"男","金門縣","無","明志科技大學　機械工程學系
國立金門農工職校輪機科實習第一名畢業
金城國中
中正國小
金城幼稚園","大學未畢業就參加過８個全國大賽
ＳＡＥ超級省油車大賽第二、三名
ＴＤＫ創思設計機器人大賽
成大論箭高中實驗火箭大賽
異念科技創設人、車輛遊艇產業
未上大學前就取得美國、中國、台灣發明專利"
"金門縣",0,5,洪正,80/8/5,"男","高雄市","台灣基進","國立高雄海洋科技大學輪機工程系學士","國立成功大學土木工程學系修業證明。
台灣基進新聞輿情部主任；
2018高雄市議員參選人；
2017美國FAPA領導人研習營；
智庫高雄好過日協會執行長；
2016長老教會山URM組織培訓"
"金門縣",0,6,"盧月香",53/6/7,女,"福建省","中國生產黨",,"１.中國生產党創党主席
２.中華新住民交流協會理事長
３.台湾月香國際貿易有限公司董事長"
"金門縣",0,7,"陳福海",52/6/3,"男","金門縣","無","國立高雄大學高階經營管理碩士","金門縣金湖鎮鎮民代表
金門縣議員
金門縣金湖鎮鎮長
立法委員
金門縣縣長"
"金門縣",0,8,"洪和成",50/9/22,"男","金門縣","無","中國文化大學","領新電子有限公司 負責人
華僑之家大飯店 負責人"
"金門縣",0,9,"陳玉珍",62/10/29,女,"金門縣","中國國民黨","國立金門高級中學(１９９１年)
國立台灣大學中文系學士/輔修法律系(１９９５年)
日本九州大學國際公法碩士(１９９８年)","金門縣議會議長陳水木先生助理
金門縣議會議長陳水木先生助理
金門縣議會(第三屆)議員
金門縣議會(第四屆)議員
金門縣議會(第六屆)議員
立法院(第九屆)委員(２０１９年－２０２０年)
中國北京大學國際經濟法法學碩士(１９９９年)
美國哈佛大學公共政策學院進修"
