"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"新竹縣",1,1,"林為洲",50/7/25,"男","新竹縣","中國國民黨","國立中央大學中文系畢業","第九屆立法委員
立法院司法法制、內政、紀律召集委員
中國國民黨立法院黨團書記長
中國國民黨立法院黨團首席副書記長
第六屆立法委員
第十四、第十五、第十八屆新竹縣議員
第十七屆新竹縣議會副議長
中國國民黨新竹縣黨部主任委員"
"新竹縣",1,2,"劉復嵐",63/5/9,"男","新竹縣","無","朝陽科技大學應用外語系","民進黨長期支持者
政治憤怒青年"
"新竹縣",1,3,"余筱菁",69/12/2,女,"新竹市","綠黨","新埔國小
竹北國中美術班
竹東高中
東海大學音樂系
東海大學音樂系研究所碩士","鄭南榕基金會人權教師研習營隊
2016年鄭南榕影展新竹策展人
2014-2018彩虹圍城到婚姻平權遊行音樂支援
新竹縣二重國中管樂團分部教師
新竹縣康乃爾單簧管分部教師
新竹縣美國學校單簧管分部教師
新竹光華國中管樂團分部教師
富邦身障才藝獎第六屆器樂組全國冠軍"
"新竹縣",1,4,"吳旭智",65/1/1,"男","宜蘭縣","國會政黨聯盟","國立交通大學資訊科學博士
國立交通大學資訊科學學士","美國麻省理工學院旅居科學家
鴻碩電腦有限公司總經理
財團法人工業技術研究院研究員
明新科技大學資管系兼任助理教授
中華民國解癮戒毒協會顧問
中華民國自閉症權益促進會理事
新竹縣慈善愛心公德會理事"
"新竹縣",1,5,"周江杰",69/7/15,"男","新竹縣","民主進步黨","新竹中學
政治大學公共行政系學士
政治大學公共行政所碩士","現職：民主進步黨發言人、新竹縣體育會槌球委員會、定向
越野委員會主任委員。
經歷：民主進步黨客家事務部主任、民主進步黨新聞部主任
、新竹縣議員、博幼社會福利基金會外展組、荒野保護協會
新竹分會鄉土關懷組。"
"新竹縣",1,6,"傅家賢",55/9/9,"男","新竹縣","無","中山國小
竹東國中
內思高工
龍華工專電子工程科
美國 Metro State University 企管碩士畢業","台北大學企管碩士結業
中山國小家長會長
竹東國中家長會副會長
世界客家雜誌榮譽會長
台灣東協商會副會長
扶輪社社長
台積電工程師
台塑蔬果公司總經理
澎恰恰電影工作室合夥人
新竹傅姓宗親會理事長
第八屆立委參選人"
"新竹縣",2,1,"林碩彥",65/1/23,"男","高雄市","台灣民眾黨","國立中山大學電機工程碩士","1.交通大學電子所博士班
2.竹北市民代表
3.連鎖健保藥局經理人
4.擷發科技顧問
5.凱煬太陽能顧問
6.新竹生醫科技顧問
7.台灣類比科技副理
8.聯詠科技製造工程經理
9.聯華電子製程整合工程師
10.中山大學推廣教育課程助教
11.社區管委員主任委員"
"新竹縣",2,2,"陳冠宇",79/11/19,"男","新竹市","綠黨","玄奘大學-資訊管理學系
台東大學附設體育高中
新竹市三民國中
新竹市龍山國小","國立台北教育大學台灣文化研究所-會長
台灣綠黨中央執行-委員
第九屆新竹縣竹北市-市民代表
新竹市芝音獅子會-會員
NVIDIA 科技產品-講師
大同股份有限公司-電腦工程師
十大傑出青年基金會學生大會
環宇廣播電台節目製作-助理"
"新竹縣",2,3,"林思銘",55/3/16,"男","新竹縣","中國國民黨","東吳大學法律系
國立新竹高中
縣立二重國民中學
縣立竹中國民小學","新竹縣第15、16、17、18、19屆議員
文化大學法律研究所
台灣大學PMLBA碩士班
明典法律事務所所長律師"
"新竹縣",2,4,"鄭朝方",69/2/19,"男","新竹市","民主進步黨","一、台北大學財經法律系
二、新竹中學
三、竹東國中
四、大同國小、竹東國小","一、人間衛視主持人
二、環宇廣播電台主持人
三、新竹新聞電視主播
四、金鐘獎得主
五、金曲獎入圍
六、加拿大品牌調香首獎
七、民進黨客家事務部主任
八、民進黨發言人"
"新竹縣",2,5,"黃秀龍",49/6/2,"男","新竹縣","無","竹東國小、竹東國中、竹東高中","隆商行、兄弟企業社、國際企業社、欣榮企業社、神誠有限公司董事。國家甲等考試及格。"
"新竹縣",2,6,"劉士睿",74/8/20,"男","桃園市","台灣基進","大華技術學院電子工程系","台積電駐廠工程師
力成科技廠務工程師(輪班)
新竹縣橫山鄉青農"
"新竹縣",2,7,"邱靖雅",61/12/12,女,"新北市","國會政黨聯盟","清華大學語言研究所碩士
清華大學中文系學士
北一女中","新竹縣議會現任議員(竹北區最高票)
新竹縣議會第18屆議員(竹北區最高票)
竹北市第七屆市民代表
新竹縣姜呂邱謝姓宗親會顧問
新竹縣義消救護大隊顧問
竹北市光明義消救護分隊榮譽團長
桃園縣政府副縣長秘書
竹科上市公司財務長特別助理
國中國文教師
中華民國解癮戒毒協會顧問"
