"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"屏東縣",1,1,"葉壽山",57/1/14,"男","屏東縣","中國國民黨","屏東市中正國小
屏東市大同國中
國立屏東高中
國防醫學院藥學系
國防醫學院藥物動力學碩士
國立中山大學高階經營管理研究所碩士","國防醫學院生物醫學研究所博士候選人
第一屆全國十大青年菁英獎
屏東縣生命線協會理事長
第15屆屏東縣議員
屏東市第15、16屆市長
高雄市政府社會局長"
"屏東縣",1,2,"鍾佳濱",54/2/23,"男","高雄市","民主進步黨","國立屏東科技大學研究所
國立臺灣大學歷史系
屏東高中
明正國中
仁愛國小","立法院教文委員會　召委
屏東縣副縣長
行政院文建會　參事
第三屆國民大會代表
紙風車文教基金會　顧問"
"屏東縣",1,3,"黃冬輝",48/11/9,"男","屏東縣","無","陸軍官校預備班20期（中正預校）
陸軍官校正51期
三軍大學（國防大學）","陸軍總部、國防部高司參謀
高雄市後備副司令
屏東縣後備司令
立法委員辦公室主任
中華民國守護聯盟協會理事長"
"屏東縣",1,4,"蔣月惠",48/4/12,女,"屏東縣","無","國立臺中科技大學
附設空專二年制國貿科","取得日本池坊學派插花教授執照
人際溝通分析學派課程培訓二十年
專長小提琴插花書法鋼琴
羅騰園殘障服務協會志工四十一年
生命線志工八年"
"屏東縣",1,5,"秦鴻明",56/9/19,"男","屏東縣","無","屏東高工","無"
"屏東縣",1,6,"潘偉龍",83/2/1,"男","屏東縣","一邊一國行動黨","內埔東寧國小
內埔國中
日本長野櫻花高中
台灣首府大學應用外語系","屏東縣議員潘長成服務處主任
屏東縣文化協會執行長
屏東縣長城慈善協會執行長
屏東縣跆拳道委員會副主委"
"屏東縣",2,1,"鄭朝明",41/3/9,"男","屏東縣","無","一、美國喬治亞州梅毖大學（MERCER）企業管理碩士畢業。
二、國立屏東高級工業職業學校畢業。","（一）屏東縣議會第十屆縣議員、第十一屆副議長。
（二）立法院第三、四、五、六屆立法委員。
（三）高應科大、屏科大、永達技術學院兼任講師。
（四）行政院顧問、立法院榮譽顧問。
（五）中醫師考試檢定考試及格。
（六）國立高雄應用科技大學畢業。"
"屏東縣",2,2,"周佳琪",72/1/5,女,"屏東縣","中國國民黨","美國拉爾文大學企管碩士MBA畢業
大仁科技大學醫務管理學系畢業
新園鄉新園國中、烏龍國小畢業","屏東縣議長周典論服務處主任
中國國民黨中央委員
銘榮元實業有限公司國外業務副課長
屏東國際青年商會2016年會長
屏東青年創業協會副理事長
正修科技大學企管學系兼任講師"
"屏東縣",2,3,"蘇震清",54/2/2,"男","屏東縣","無","屏東科技大學農業企業管理系碩士(畢)
世新大學公共關係科(畢)","第八、九屆立法委員，經濟委員會召集人。
第七屆立法委員、民進黨團副書記長。
屏東縣小英之友會顧問團團長。
民進黨第十四屆中央執行委員。
第十五、十六屆屏東縣議員。"
"屏東縣",2,4,"何秋葺",59/1/14,女,"屏東縣","台灣工黨","佳佐國小
萬巒國中
海青工商","台灣工黨婦女部副主任
推動飛訊全方位通路翻轉台灣經濟南區負責窗口
慈福屏東舊衣服資源回收推廣公關"
"屏東縣",2,5,"何麗莉",55/12/8,女,"高雄市","中華統一促進黨","崁頂國小
潮州國中
高雄市私立中華藝術學校","中央電影公司第12期學員
台灣電視公司
國泰人壽"
"屏東縣",2,6,"姚宗翰",72/6/3,"男","高雄市","無","1.高雄市中山國小
2.高雄市龍華國中
3.高雄市立三民家商室內設計系
4.高雄科技大學漁業生產與管理系","1.高雄市不動產仲介經紀商業同業公會北區分會長
2.高雄市漁業推廣協會理事
3.荒野保護協會永久會員
4.雲林同鄉會會員
5.雷特病氏關懷協會愛心大使
6.高雄更生團契志工"
"屏東縣",2,7,"鄭文龍",56/2/5,"男","臺北市","國會政黨聯盟","日本國士館大學教育學系畢業","海峽兩岸影視導演及藝人
社團法人中華愛悅公益慈善發展協會 秘書長
中華民國亞太經貿文化交流協會
台北市私立協和祐德高中日文教師"
"屏東縣",2,8,"張怡",65/2/13,女,"屏東縣","無","美國柏克萊大學法學碩士
英國諾廷漢大學英語研究碩士
台大外文、台大進修部法律學士
高雄女中
恆春國小
苓雅國中","中華民國律師
美國紐約州律師
台灣環境保護聯盟執行委員
屏東環境保護聯盟理事
紐約派美語教師"
"屏東縣",2,9,"馮家芸",50/4/15,女,"屏東縣","台澎黨","高職畢（東港海事水產職業學校）","牧農業者"
