"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"山地原住民",0,1,"伍麗華^Saidhai．Tahovecahe",58/8/12,女,"高雄市","民主進步黨","屏東師專、屏東師院、屏東師院國教所碩士","屏東縣政府原住民處處長、國小校長、為臺灣而教（TFT）基金會董事、總統府原轉會委員、行政院原基法推動委員、12年國教課綱研修委員、教育部USR推動中心委員、屏東大學教行所博士候選人"
"山地原住民",0,10,"孔文吉",46/10/18,"男","南投縣","中國國民黨","1.台灣大學外文系畢業。
2.美國奧勒岡大學(University of Oregon)新聞碩士。
3.英國羅芙堡大學(Loughborough University)社會學系媒體研究組博士。","1.第六、七、八、九屆立法委員。
2.台北市政府原住民事務委員會主任委員。
3.內政部民政司專員。
4.行政院新聞局聯絡室秘書。
5.朝陽科技大學及文藻外語專科學校助理教授。"
"山地原住民",0,11,"林信義",40/2/7,"男","桃園市","無","1. 屏東師範專科學校
2. 中國文化大學社會工作
系","1. 國小校長2. 桃園縣議員3. 復興
鄉長4. 復興鄉後備軍人輔導中心
主任5. 亞洲電台節目主持人並榮
獲金鐘獎6. 基督教大溪懷恩教會長
老7. 中國國民黨復興鄉黨部主任
委員"
"山地原住民",0,2,"林曉婷",66/3/23,女,"高雄市","無",,
"山地原住民",0,3,"高畹芯",48/1/10,女,"南投縣","喜樂島聯盟","南投縣仁愛鄉合作國小畢業
南投縣仁愛國中畢業
國立暨大附中畢業","300C3區投美國際獅子會會長
第七、八屆原住民族女性意見領袖人才培訓精英班。
台灣原住民文藝觀光經濟發展協會理事長。
原住民族文化藝術產業推廣。
美容講師。
國立空中大學在學中"
"山地原住民",0,4,"高金素梅",54/9/21,女,"臺中市","無","青年高中畢業","財團法人癌症關懷基金會董事長
財團法人肝炎防治基因會終身義工
第5、6、7、8、9屆立法委員"
"山地原住民",0,5,"張曜羣^Lawpaw Buya",70/7/24,"男","新竹市","綠黨","秀巒國小
竹東國中
竹東高中","福爾摩沙合唱團男高音
日本寶塚國際合唱大賽-金牌
世界華人聲樂大賽-優秀演唱獎
鐵玫瑰全國熱音賞-金賞獎
原Band大賞-全國冠軍"
"山地原住民",0,6,"撒卡伊",40/9/20,"男","宜蘭縣","台澎黨",,
"山地原住民",0,7,"伊斯坦大．貝雅夫．正福^Istanda．Paingav",45/10/1,"男","高雄市","無",,
"山地原住民",0,8,"章正輝^Lemaljiz．Kusaza",52/9/4,"男","臺東縣","中國國民黨","1.臺東縣大王國民小學
2.臺東縣大王國民中學
3.省立臺東高級中學
4.國立臺灣大學政治系","1.中國國民黨臺東縣黨部主任
2.臺東縣金峰鄉第十五屆、十六屆鄉長
3.臺東縣議會第十八屆、十九屆議員並擔任中國國民黨黨團書記長
4.105年全國績優鄉鎮長"
"山地原住民",0,9,"錢宥均",70/6/17,"男","南投縣","安定力量","國立南投高中","99年南投縣仁愛鄉民代表參選人
103年南投縣仁愛鄉民代表參選人
105年南投縣仁愛鄉長補選參選人
南投縣仁愛鄉公所埔里服務中心主任
德克達雅教會執事"
