"縣市","選區","號次","姓名","生日","性別","出生地","政黨",學歷,"經歷"
"宜蘭縣",0,1,"黃定和",47/1/5,"男","宜蘭縣","無","佛光大學公共事務學系碩士
國立臺灣海洋大學畢業
復興工專
宜蘭高中
宜蘭國中
中山國小","。現任宜蘭縣議員
。宜蘭縣議會教育、民政、文化、計畫
    等審查委員會召集人
。社團法人宜蘭縣勞工志願服務協會理
     事長
。救國團宜蘭縣團委會副主任委員
。宜蘭縣體育會輕艇委員會主任委員
。二屆宜蘭市長
。二屆宜蘭縣議員
。二屆宜蘭市民代表"
"宜蘭縣",0,2,"陳歐珀",51/10/12,"男","宜蘭縣","民主進步黨","國立中興大學森林研究所碩士
國立中興大學森林學系學士
省立宜蘭高級中學","第8、9屆立法委員
國立台灣大學環工所博士班肄業
宜蘭縣政府機要秘書
勞委會羅東、新店就業服務站站長
國民大會代表
民進黨宜蘭縣黨部主任委員
台灣省第十屆台灣省議會議員
三星鄉代理鄉長(創辦蔥蒜節)
國立宜蘭大學兼任講師
林業科高考及格"
"宜蘭縣",0,3,"許育嘉",62/4/4,"男","宜蘭縣","勞動黨","國立臺灣師範大學文學博士","勞動黨中央委員
台灣地區政治受難人互助會副會長"
"宜蘭縣",0,4,"林獻山",47/8/1,"男","宜蘭縣","台灣維新","京都大學衛生工學博士
京都大學衛生工學碩士
中興大學環境工程學士
宜蘭高中
羅東國中
羅東國小","工業技術研究院副研究員
中興電工環工室主任
蘭陽技術學院專任教職18年
九馥生技有限公司研發長
宜蘭縣政顧問4年"
"宜蘭縣",0,5,"呂國華",45/2/26,"男","宜蘭縣","中國國民黨","宜蘭高中
輔仁大學法學士
台灣大學法學碩士","省立宜蘭高中兼任老師
私立蘭陽技術學院兼任講師
國立宜蘭技術學院兼任講師
省立宜蘭醫院社會服務室主任
宜蘭市市長
宜蘭縣縣長"
"宜蘭縣",0,6,"孫博萮",67/3/4,女,"臺北市","無","輔仁大學宗教學系學士","台灣大學法律學分班第29期結業
台灣大學國家發展研究所碩專生
台灣大學研究生協會研究生代表
台灣大學員生消費合作社社員代表
宜蘭縣環境保護聯盟常務理事
守護宜蘭好山好水行動聯盟召集人
立法委員國會助理
綠主張綠電生產合作社理事
主婦聯盟生活消費合作社社員代表
宜蘭縣公民監督聯盟理事"
